,mean_price,mean_mileage
volkswagen,5996.269251715499,128242.5661692626
bmw,8827.709010636163,132894.8424643789
mercedes_benz,8763.703477868112,131063.68563685637
opel,3394.7157652474107,128035.67318757193
audi,9613.64779393012,128909.7169089518
ford,4631.114143920596,123619.28394186459
